Year,"College Region (Glasgow, Highlands, etc)",College names (actual for each year),Male,Female,Inf ref/pr not say,Difference,Female real,PERCENTAGE OF FEMALES:female/male * 100,PER_FEM,College chosen,POSTCODE,LATITUDE,LONGITUDE,TYPE,local_authority
2007,Glasgow,Langside College,17,6,0,0,6,26.09,26.09,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2007,Glasgow,Stow College,5,5,0,5,0,0.00,0.00,Springburn Campus,G21 4TD,55.8805601,-4.228602726,college,Glasgow City
2006,Aberdeen and Aberdeenshire,Aberdeen College,12,5,0,3,2,14.29,14.29,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2006,Aberdeen and Aberdeenshire,Banff and Buchan,9,5,0,1,4,30.77,30.77,Fraserburgh Campus,AB43 9GA,57.68555875,-2.026723234,college,Aberdeenshire
2006,Glasgow,Cardonald College,30,5,0,0,5,14.29,14.29,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2006,Lanarkshire,Cumbernauld Colleg,5,5,0,2,3,37.50,37.50,Cumbernauld Campus,G67 1HU,55.9452487,-3.9919162,college,North Lanarkshire
2006,Dundee and Angus,Dundee College,39,5,0,3,2,4.88,4.88,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2006,Edinburgh and Lothians,Edin Telford Col,40,5,0,1,4,9.09,9.09,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2006,Forth Valley,Forth Valley Col,14,5,0,4,1,6.67,6.67,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2006,Ayrshire,James Watt College,10,5,0,4,1,9.09,9.09,Kilwinnig Campus,KA13 6DE,55.6546108,-4.7034382,college,North Ayrshire
2006,Ayrshire,Kilmarnock College,6,0,0,0,0,0.00,0.00,Kilmarnock Campus,KA1 3HY,55.61372185,-4.500575417,college,East Ayrshire
2006,Glasgow,Langside College,14,5,0,4,1,6.67,6.67,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2006,Lanarkshire,Motherwell College,6,0,0,0,0,0.00,0.00,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2006,West,Reid Kerr College,5,0,0,0,0,0.00,0.00,Reid Kerr College,PA3 4,55.852463,-4.4202858,college,Renfrewshire
2005,Aberdeen and Aberdeenshire,Aberdeen College,12,5,0,3,2,14.29,14.29,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2005,Fife,Adam Smith College,6,0,0,0,0,0.00,0.00,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2005,Glasgow,Anniesland College,9,0,0,0,0,0.00,0.00,Anniesland College,G12 0YE,55.8861916,-4.319644419,college,Glasgow City
2005,Aberdeen and Aberdeenshire,Banff and Buchan,8,5,0,0,5,38.46,38.46,Fraserburgh Campus,AB43 9GA,57.68555875,-2.026723234,college,Aberdeenshire
2005,Glasgow,Cardonald College,34,5,0,2,3,8.11,8.11,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2005,Dundee and Angus,Dundee College,47,5,0,3,2,4.08,4.08,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2005,Edinburgh and Lothians,Edin Telford Col,20,5,0,2,3,13.04,13.04,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2005,Ayrshire,James Watt College,12,5,0,4,1,7.69,7.69,Kilwinnig Campus,KA13 6DE,55.6546108,-4.7034382,college,North Ayrshire
2005,Ayrshire,Kilmarnock College,5,5,0,5,0,0.00,0.00,Kilmarnock Campus,KA1 3HY,55.61372185,-4.500575417,college,East Ayrshire
2005,Glasgow,Langside College,14,5,0,1,4,22.22,22.22,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2005,Lanarkshire,Motherwell College,5,0,0,0,0,0.00,0.00,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2005,Lanarkshire,South Lanarksh.Col,14,5,0,3,2,12.50,12.50,East Kilbride Campus,G75 0NE,55.7534888,-4.1612859,college,South Lanarkshire
